,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
359,17554878,Wild Horse Mountain Bar-B-Que,Sallisaw,"S 4612 Rd, Sallisaw 74955",Sallisaw,35.4058420000,-94.8042870000,74955,BBQ,1,10,4.9,Excellent,77,28
360,17656118,Mary's Tacos,Kerrville,"1616 Broadway, Kerrville 78028",Kerrville,30.0367920000,-99.1345590000,78028,"Breakfast, Mexican",1,10,4.9,Excellent,60,20
361,16609855,Margan Restaurant,Broke,"1238 Milbrodale Rd, Broke",Broke,-32.7541230000,151.0956620000,2330,Modern Australian,3,30,4.9,Excellent,51,29
362,18702883,Landour Bakehouse,Landour,"Shop 152, Sisters Bazaar, Landour Cantt",Mussoorie,30.4568987189,78.1020792201,,"Cafe, Bakery, Desserts",2,500,4.9,Excellent,174,91
363,16604423,Source Dining,Kyneton,"72 Piper St, Kyneton, Kyneton",Kyneton,-37.2439460000,144.4485630000,,"Modern Australian, Australian",4,100,4.9,Excellent,193,83
364,16855097,Cafe Citti,Kenwood,"9049 Sonoma Highway, Kenwood 95452",Kenwood,38.4181222222,-122.5502250000,95452,Italian,2,40,4.9,Excellent,58,11
365,17280355,Dusit Thai Cuisine,Mountain Home,"920 Hwy 62 E, Mountain Home 72653",Mountain Home,36.3487800000,-92.3728150000,72653,"Asian, Thai",1,10,4.9,Excellent,98,46
366,17218986,Maggie's Town Tavern,Little Falls,"10 Van Ness Ave, Little Falls 07424",Little Falls,40.8805720000,-74.2230000000,07424,"Pizza, Bar Food, Steak",2,25,4.9,Excellent,47,19
367,16604818,Brandy Creek Wines & View Cafe,Drouin East,"570 Buln Buln Rd, Drouin East",Drouin East,-38.1076200000,145.8977050000,3818,"Spanish, Tapas",2,20,4.9,Excellent,67,38
368,16609287,Gorges Cafe,Kalbarri,"Shop 6, Marina Complex, Grey Street, Kalbarri",Kalbarri,-27.7021074000,114.1679929000,6536,"Breakfast, Modern Australian",2,20,4.9,Excellent,47,29
369,16608105,Victory Hotel,Sellicks Beach,"Main South Road, Sellicks Beach",Sellicks Beach,-35.3385390000,138.4643100000,5174,Pub Food,2,20,4.9,Excellent,102,56
370,17277886,Craig Brothers Cafe,De Valls Bluff,"15 W Walnut, De Valls Bluff 72041",De Valls Bluff,34.7216000000,-91.5348000000,72041,BBQ,1,10,4.9,Excellent,72,20
