,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
270,17554878,Wild Horse Mountain Bar-B-Que,Sallisaw,"S 4612 Rd, Sallisaw 74955",Sallisaw,35.4058420000,-94.8042870000,74955,BBQ,1,10,4.9,Excellent,77,28
271,7100171,Ombra,Te Aro,"199 Cuba Street, Te Aro, Wellington City",Wellington City,-41.2948873169,174.7749488801,,Italian,4,70,4.9,Excellent,270,131
272,16604818,Brandy Creek Wines & View Cafe,Drouin East,"570 Buln Buln Rd, Drouin East",Drouin East,-38.1076200000,145.8977050000,3818,"Spanish, Tapas",2,20,4.9,Excellent,67,38
273,16605284,Tomo Modern Japanese,Inverloch,"1/23 A'Beckett Street, Inverloch",Inverloch,-38.6337090000,145.7252810000,3996,Japanese,3,30,4.9,Excellent,95,42
274,16855097,Cafe Citti,Kenwood,"9049 Sonoma Highway, Kenwood 95452",Kenwood,38.4181222222,-122.5502250000,95452,Italian,2,40,4.9,Excellent,58,11
275,17218986,Maggie's Town Tavern,Little Falls,"10 Van Ness Ave, Little Falls 07424",Little Falls,40.8805720000,-74.2230000000,07424,"Pizza, Bar Food, Steak",2,25,4.9,Excellent,47,19
276,17563040,La Tarasca,Centralia,"1001 W Main St, Centralia 98531",Centralia,46.7187000000,-122.9655000000,98531,Mexican,1,10,4.9,Excellent,121,41
277,16608105,Victory Hotel,Sellicks Beach,"Main South Road, Sellicks Beach",Sellicks Beach,-35.3385390000,138.4643100000,5174,Pub Food,2,20,4.9,Excellent,102,56
278,17277886,Craig Brothers Cafe,De Valls Bluff,"15 W Walnut, De Valls Bluff 72041",De Valls Bluff,34.7216000000,-91.5348000000,72041,BBQ,1,10,4.9,Excellent,72,20
279,18702883,Landour Bakehouse,Landour,"Shop 152, Sisters Bazaar, Landour Cantt",Mussoorie,30.4568987189,78.1020792201,,"Cafe, Bakery, Desserts",2,500,4.9,Excellent,175,91
